review,sentiment
sitting big wing chair huge book lap one bela lugosi look camera dreadful vocal delivery sound mocking reading shakespeare intones sloooow ly man constant groping thing unknown drawing endless reach time brings light many startling thing snicker startling seem new lugosi eye bulging raised eyebrow mouth sneering continues new sign age cue visual lightening accompanied sound thunder continues rumble astonishing second br br begin arguably worst film ever made movie almost defies description told semi docudrama style unseen narrator explaining plot story revolves around vicissitude man named glen ed wood jr cross dress hence reference glenda film real structure instead consists mostly random assortment vignette may may relate glen cross dressing motif one long sequence consists unknown woman wriggling sofa followed man whipping woman would today refer br br odd moment bela reappears apparent reason babble inane dialogue like wrong right right wrong pull string dance huh br br twenty percent film visuals consist stock footage accompanied vo relates story motif visuals hence see stock footage bustling city street freeway traffic thunderous herd buffalo playground full kid get worse film cross dressing consecutive second stock footage foundry furnace making hot steel consecutive second battle scene wwii br br even simplest item botched one scene see newspaper headline read man nabbed dressed girl underneath headline clearly glued pasted article tax one favorite scene screen woman spout airplane creator voice sound like inhaled helium br br except performance lyle talbot acting uniformly horrendous production design cheap looking drab gotta love tacky wallpaper editing sloppy background music suitable style elevator b w cinematography way much contrast costume look like something came thrift store br br film bad make plan outer space look like citizen kane comparison know one could make film worse ed wood glen glenda thankfully got bela lugosi every time opened mouth gazed camera big bulging eye fell floor laughing,0
quality likely remember viewing big knife claustrophobic pacing sacrificed uniform texture dialog talky extreme modern viewer feel every point made movie still move viewer favor change scenery inert min mark sure watched two slow hour beleaguered response good god going feel like odets paid word br br good place note decline drama high point conceit laden project actual filmic merit rediscovered vanish get show offy conventional emotional outburst steiger lupino et al camera move pre arranged meet practiced blocking due rise method regrettable trend sacrificing every merit film grant actor selfish wish great acting ho hum killed thought movie br br jack palance forehead pompadour retract thrust forward every time reacts something disturbing br br awfully boring stuff,0
start saying fan bad movie really bad movie state front passenger snake think accurate say passenger snake br br snake anything particularly interesting whole movie fact blunder little happening although occasionally great gore shot pulsating arm green goo puke bad movie green goo br br ending come along quite literally smack seat hysteria movie get boost rating br br certain movie world want show friend watch reaction certain event happens br br example arrival big man r kelly trapped closet line shark attack know hear arrival mama shark shark attack almost every scene troll ending dracula utter disbelief confusion end movie proudly sits category worth sitting get drunk stoned whatever poison watch movie mate br br quite simply like bad movie get get confused snake plane relation br br pay fiver either,0
unfortunately one best effort yet made area special effect made completely pointless placed alongside lumbering silly equally pointless plot inadequate clichéd screenplay hollow man rather useless film br br practically everything seen done death character idea action sequence especially lift shaft genuinely intriguing element film impressive special effect however special effect done end film done death also hoping watching hollow man invisible man theme hardly original would basis something newer interesting long film turn overly familiar blood bath mass ineffectual histrionics mound clichés pile fast almost impressive br br top kevin bacon pretty useless job supporting cast hardly trying best good point might passable jerry goldsmith score competition better effort quite interesting use thermal imagery special effect tempted give film three ten effect push hollow man merit one notch br br,0
well take j simpson american soldier turned american bus driver decides rescue passenger incase one else going arte johnson absolutely straight role tour guide know want admit trouble combine lorenzo lama one three baby faced bad boy intend kidnap heiress leave busload people die dessert got action plot twist lot drama everyone good seeing lama baddest bad boy really blew mind much believable overbearing bad guy wanted kidnap heiress rape woman humiliate guy tried stop evidently long cultivated good guy image believe year old lorenzo tight jean really want miss,1
clearly rating suggest compare classy horror like argento low budget drive fare department truly classic lack money show anyone care much acting adequate rather professional make realistic unlike many movie low budget one drag moment crap may non stop crap face crap although inevitably bit campy time must see anyone idea talking time quite delirious crazy little film filled crazy character clearly made fun fun indeed watch,1
seen movie twice time cinemax first time unrated version soft core porn best second time trimmed cut sex nudity version entertaining typical beach movie sort way unrated version tremendous sex scene nikki fritz dude bottle oil world pun intended unfortunately trimmed version scene almost completely chopped sex scene rated unrated still fun watch sibling bigger star stallone sheen travolta etc trying act also get appearance b queen linnea quigley burt ward robin old batman series,1
wow believe first one post comment great movie br br although movie seemed interesting enough real thing attracted one matt lillard granted people probably either think caffeine happy plain suck age generation watched guy many time one favorite one movie big shot main star kind like slc punk another great lillard film br br baiscally storywise usual heist movie twist anything start amount craziness also notable movie another great actor named vincent onofrio appreciated person film industry woman movie newcomer bad although know hired mainly accent nude scene br br game jack v jill v bob want reap reward share one try get eachother kill timebomb waiting explode matt show true prowess scheming jack initially start whole scheme vincent woman play couple art thief need money due lack business vince character bit deranged skitz throughout movie add intensity film br br surprise left right well welcomed ending non cliche make feel happy well maybe depends type ending like movie kept interested besides fact matt great movie highly recommend anyone like movie critic probably like movie watch movie cause like movie anyway,1
rourke usual bit part sinister rancorous neanderthalian ferocious evil jerk mold picture claire fifty get carter double team rest garbage happens br br line br br course junk undervaluing rourke abasing matter characterization actor still seeing prayer johnny handsome barfly week year dragon etc etc many year considered rourke outstanding smart intelligent man think changed since br br look callous calcined br br went gloomy look despair inhabited breast made man perfect pest belloc example br br absolutely reason watch dull movie except rourke,0
excellent documentary still manages shock enlighten unfortunately time changed much since made thus important piece freedom conscious american see,1
suppose like pure action find suppose find gorgeous blonde designed screwed find suppose want find couple extra baddie headed extra extra baddy boss meat nasty end find br br overall routine stuff good guy come top big time extra ordinary circumstance br br marvel good guy armed pistol kill dozen bad guy machine gun shooting point blank range missing goody even get time reload pistol amid hail machine gun bullet br br ho hum,0
hilarious insightful perspective dating world portrayed beat comedy first time writer director peter cohen story unfolds four male protagonist meet weekly local diner confer dating woe meet brad good looking wall street playboy quick wit sharp tongue zeek cynical sensitive writer jonathan sexually perplexed nice guy affinity hand cream masturbation eric married guy cherishes weekly encounter single friend hope enlightenment boring banal married existence trial tribulation men single life new york amusingly expressed mirroring sex city hbo new comedy mind married man bring astute light scamming story take twist three singleton meet mia wittily played amanda peet fall seduces uncanny ability conform personality exhibit come realize met fallen love woman chose friendship whipped realistic portrayal dating world one critic failed recognize plain language missed point protagonist caricature real people exaggeration hysterical mixing satire humility taken seriously critic disparagement suggests see movie laugh start finish,1
wonder one best musical ever three busby berkely number end movie spectacular make film wonderful incredible non stop patter natural acting cagney blondell keeler also lovely even though may great actress freshness movie see flick today much less usually stilted film even though plot involving setting movie prologue quite dated,1
show exhausting watch two number drowned world substitute love paradise sit contemplate opening show go history visually thrilling madonna enters stage via gigantic swarovski crystal ball come ceiling huge screen behind show image horse galloping horse play role show due madonna falling one infamous scene madonna crucifix show huge screen count million number many african child orphaned due aid end website address come anyone interested donating go theme environment image politics religion shown interlude show start music love new york ray light part show one favorite dancer funny hand movement towards end music number song disco inferno mixed song dancer make presence known ending full energy show wrap tune lucky star hung hundred golden balloon fall ceiling end message confessed come dvd worth buying came soundtrack show added bonus jonas akerlund great job footage show keeping consistent style tour,1
gritty presentation decay family value human dignity wake soviet communism vasili pichul film little vera landmark film modern russian cinema pichul brutal drama mark strong departure image sanitized idealism promoted soviet time aleksandrov circus brashly moving social chaos time public spotlight contemporary ukrainian setting intensifies effect first immediacy film time period second utilization locale struggling identity lieu soviet system also nation distinct russian idiom dominated u r br br vera film title character protagonist rebellious adolescent girl dysfunctional family including hard drinking father mother care worn rejecting would beau andrei vera begin destructive primarily sexual relationship college student named sergei despite parent dislike lazy sergei despite sergei rude contempt parent move cramped apartment tension escalate vera father drunkenly stab sergei vera must decide stay loyal intolerable family testifying father acted self defense continue support defend ever detached sergei br br unbearable almost every imaginable way little vera masterfully capture communicates inescapable void left social life collapse communism sexual aggressiveness film first film show explicit sex combined unrelenting presentation social reality marked distinction socialist realism demanded stalin effectively confronted condition former soviet life interesting however public reception many wrote hate mail director star film wildly popular double edged nature film social criticism emerges done correctly film make audience uncomfortable easy solution present viewer hate film filmmaker bringing issue many film come mind somewhat comparable regard larry clark kid harmony korine gummo even popular movie john hughes breakfast club br br recommend film viewer prospect nearly two hour excruciating domestic conflict social miasma overly daunting film absolutely beautiful incredibly challenging despite difficulty watching film moment within profoundly beautiful course socio historic cultural significance film cannot overlooked fact operate even assertive reason watching film,1
awesome movie great combination talent huge fan david duchovny outstanding movie would love see movie nature talent definitely used much offer besides agent mulder although huge fan series anyway want see easily cary grant generation seen movie must great love story show love never dy forever minnie driver great go wrong cast containing mr connor mr loggia mr belushi movie get type award nod deserved one great job bonnie hunt way soundtrack great,1
getting lost space frozen year unlikely falling star improbable falling day go supernova explodes ludicrous getting rescued ship priceless br br zaphod beeblebrox heart gold rescue also parent year awardees sentencing daughter two year solitary confinement abandoned spaceship mother encourages get drunk wander alone strange man picked foreshadows prowess hand hand combat make film action combat highlight include example psycho talking close face face one woman blindly pointing gun behind six inch away obligingly simper line fire br br end family three abandon metropolis sized ship planning use observe supernova last instant slow escape blast wave instead using psycho fighter ship refueled one minute pound gas propellant kiloton missile love hard sci fi statistic br br long hollywood treat writing irrelevant frill continue making movie fit run sci fi channel,0
david bryce comment nearby exceptionally well written informative almost say everything feel darling lili massive musical peculiar blown produced must caused rupture paramount cost million dollar simply irresponsible darling lili must greenlit board meeting said hey got pink panther guy sound music gal let get handed blank cheque result hybrid gigi zeppelin half sixpence mgm song dance number style daisy boater hopelessly old fashioned like musical porridge mata hari dramatics production colossal lush breathtaking view rest ridiculous romance julie looking befuddled hudson already dead mistimed comedy astoundingly boring song deaden spectacular film irritating lili like twee mega musical vulgar bit spice star released year sadly crashed finally appreciated excellent film genuinely andrew look sublime mature especially last half hour lili poppins dolly frilly believe really killed mega musical binge made andrew look like poppins believe edward intention paramount must collectively fainted saw another million festering catch million clear day million paint wagon financial abyss cleopatra proportion million tied film uncertain future maybe asked seer daisy gamble clear day lili popular immediate first release australia ran mm cinema month failed sub stick ever surfaced one night stand clear day sunday night double thank god paramount simple million yes one million dollar film love story million dollar gangster pic godfather also ready recover million next two year incredible,0
like sci fi cartoon however robotboy appeared canada late watched premiere inevitably appalled character generic stereotypical really need make african american man wear tiger stripe print clothing speak jamacian accent asian character vibrant yellow squinting mother big thigh chest constantly complain point thing become unrealistic predictable gross sometimes disturbing heavy similarity even stab astro boy allow explain dub name young robotboy astro kamikaze tenma constantine shadow gu abercrombie tommy alejo lola zoran kennedy moshimo shay brief resemblance life teenage robot star war teenage mutant ninja turtle kamen rider sailor moon co afoot mention abundant racial gender stereotyping even get started innuendo say hidden quite dirty seriously even try watching especially like astro boy,0
one considers carson mccullers one foremost literary figure th century seems need great lack talent able ruin one story movie show done actor ingratiate way becoming director wooden unatmospheric unsympathetic totally sync poetic compassion mccullers writing jaw dropped horror disbelief mish mash movie could ever found finance backer redeeming feature moderately good acting although said vanessa redgrave seems permanently render much performance whatever character play good cinematography place otherwise bitter bitter disappointment could indeed contemporary masterpiece simon callow hang head shame stick acting,0
redeeming feature movie steve carell like john wayne never seen steve carell stretch far actor matter always play one role perfectly br br marty feldman said comedy must internal consistency men stage sitting garbage can fine bring fifth man stage garbage must explain audience also garbage br br evan accept role messenger god accept profoundly embarrassed anyone impressed way animal follow evan around explained away unthinking doubter trained animal possibly circus terrible flood end everyone see hop ark saved surely thousand people would killed flood post disaster emotional atmosphere end instead congress finally seen light prosecute lone incorrigibly bad congressman profiteering br br gotta admit also liked fish aquarium reacting presence evan,0
movie nothing like book think writer screenplay must wanted job writing sequel gone wind turned way getting idea anyway similarity movie story portraying name principle character location main action none event shown movie happened way book gone wind fan book movie deeply disappointing loved book scarlett watch movie hoping see played screen share title common,0
saw film last night say loved every minute taken spirit parody bond esquire film truly superior true comedy film blatant disregard political correctness misogyny cultural insensitivity almost laughable macho ism film genre used major comic effect also call illogic formulaic element task agent os constantly learning difficult thing insanely quick arabic play traditional instrument missing pathetically obvious clue line film left laughing hour movie finished say learned interesting french vocabulary would probably professor quite exasperated use thought film excellent intensely funny first film ever seen truly parody aspect spy film,1
dean koontz book watcher one finest book read sadly movie sad caricature book disillusioned middle aged hero lonely spinster find meaning life converted movie couple silly teenager stoic security agent conscientious sheriff combined farcical villain get picture moviemakers taken moving tale love horror adventure converted z grade horror flick aimed poorly teen market br br buy book enjoy many hour reading far far rewarding watching movie br br,0
may sentimentalist found movie truly moving first movie reduced tear recommend anyone gay str religious supporting co star jackie bisset stole show especially one liner nude scene superbly crafted well good taste shocking portrayal orientation reversal deprogramming instituted mormon church lead character shocked still go world nevertheless enjoyed movie tremendously definitely best gay film since torch song trilogy much better gay movie offering year fluffer,1
really enjoyed movie little difficult brother making stupid comment ever second movie enjoyed mostly used usual hk action film film like watch story line watch mindless action mindless action right get see jet li jump spin kick punch shoot make impossible jump dodge countless bullet true movie released broader audience li lethal weapon one reason rating movie dropped people probably expecting see movie polished north american film need remember hk film budget nearly high north american film style hk action film usually different usually requiring wire work lot want see good action film see try ignore dubbing br br rating,1
oh dear disappointed movie rip japan ringu well guess u made version well least outright remake sad much enjoy watching filipino movie know great thing come little country believe happen claudine kris big name surprised would affiliated plagiarism aspiring movie maker philippine stoop low make money many movie buff watching movie filipino put enjoying,0
independent b w dv feature consistently shock amazes amuses ability create insane situation find humor interest hilarious ridiculous stuff yet absurd much film heart reality keep film grounded keep entire piece drifting complete craziness therein lie real message film survive world gone mad seems heart film insane wall thing get leon yr old paperboy protagonist always try keep together like child forever trying catch balloon floating away everything work best everyone want br br acting film could went far top exceptional cast really keep piece cohesive van meter perhaps best bunch performance shine absurd diseased tic character film overlook sudden outburst see real person underneath br br majkowski true genius take utmost ridiculous plot twist keep real script cast help keep whole thing afloat true testament skill majkowski involved film grating plot character never work nerve majkowski taken film could abrasive repugnant somehow given heart humor unique film missed br br,1
guy doll unique play based character sky masterson br br marlon brando high class gambler take bet nathan detroit frank sinatra one thousand dollar nathan need money br br run usual crap game make fortune bet sky able take girl havana cuba doll chose sarah br br brown jean simmons charge missionary sky finally bribe br br sarah enough go havana end falling love later accuses something part nathan ran crap game missionary night gone nathan year fiancé adelaide vivian blaine disapproves nathan gambling try stop however movie end end happy double br br wedding br br song movie wonderful matter sings marlon br br brando singing voice true could dubbed really matter wonderful acting job obviously seeing brando played character well seen movie jean simmons thought movie weakest one also br br sing however singing made frank sinatra vivien blaine stubby kaye vivien blaine stubby kaye also original br br broadway production guy doll vivien blaine terrific voice perfect adelaide like musical even advise watch,1
might consider spoiler rather cautious careless never saw movie little fell love first time saw three year old daughter watch br br little acting ilene wood lifetime wonderful voice cinderella appealing believable music really fit movie perfectly acting great loved mouse really hated lady tremain step sister awful cartoonist depicted spoiled behavior well br br wonderful movie especially love story daughter seen movie time still get excited end,1
may worst movie ever produced worst plot worst acting worst special effect prepared want watch way get enjoyment light match burn tape knowing never fall hand sane person,0
third darkman definitely better second one still far worse original movie made one better fact bad guy changed durant brought back furthermore actually hint character development came bad guy family darkman made heart soften gave flick much e,0
like title thread say impression got movie marlee matlin character always angry cynical pathetic character first date william hurt character dancing dumb tried finish watching movie four time four time fell asleep would keep watching movie one intention beat problem insomnia put sleep sweet dream,0
filmmaker made rather boring everyman story look interesting complex focusing wife back home time exposed truly original existential french loner br br film documentary hardly ever feel experienced something accidentally profound make profound br br film visually interesting interior moment absolutely loved journey filmmaker took quite lot european credit hopefully pb screen reach wider audience usa,1
someone teach people made movie difference presenting multiple twist screwing audience even use hypnosis tool cover plot hole whenever find way scene say regressing past snapping think explains everything movie dishonest cheat last minute becomes full blown fiasco,0
disney movie dare something different least awarded effort hole make mistake one would expect disney movie troubled teenager put camp first time event explained detail flashback scene really serve purpose present several mature topic may surprise viewer must admit first bit put seriousness movie soon realized endure moment see beauty story besides story movie also good job questioning method used correctional facility one example caveman forbidden teach zero read dig hole order build character like learning read contribute hole movie smart beautiful must watch,1
looking rent dvd come across movie called end game star james wood cuba gooding jr synopsis taught political thriller well worth look thought br br boy wrong br br end game ridiculous plot ever displeasure enduring something whodunnit really tear would like without ruining yet experience monstrosity question done earth get resource pull abundant following film unintentionally hilarious conclusion br br acting know film almost feel actor realised made terrible mistake signing movie show performance one accompany laughable script seriously flawed irritating direction recipe cinematic poison br br course make cinema reason allow living room appalling,0
like bad film thing steaming heap shaky cameraman horrible sound devastating acting waste second pile fifth grader could made better film first grader could written better script want real synopsis ugly chick neon bikini dancing way long disjointed plot made worse hideous acting location set even passable church scene take place dance studio oh yeah two tap dance number come blue br br oh total number naked breast even saved film add one trash heap,0
stan laurel became smaller half time greatest comedy team laboured contract broncho billy anderson series cheapies many parody major hollywood feature laurel parody film mildly funny even less funny modern audience seen original movie laurel parodying fortunately mud sand lampoon movie still well known blood sand starring rudolph valentino blood sand released nine week parody giving idea quickly broncho billy movie ground edited distributed br br various source including imdb state stan laurel character film named rhubarb vaselino final screened print mud sand original title hobo type font report laurel role actually cried rhubarb vaseline e agree vaselino funnier laurel copy elaborate sideburn valentino wore blood sand made longer parody valentino dressing scene movie made female movie goer swoon señorita named carmen original film parodied caramel girl like sink teeth br br movie like original apparently take place spain yet prohibition gag laurel us distinctive hat tipping gesture could become trademark like hardy distinctive necktie twiddle never spotted laurel film amusing dialogue rhubarb vaseline tell matador save bull vaseline becomes successful toreador lackey tell bull without sir funny disappointed laurel reply without br br one funny moment almost certainly planned vaseline show bullfighter audition laurel swagger bullring say corrida querida toss bull fence land thump near auditioners bull obviously fake gag funny anyway aye title card joke throwing bull serendipitous moment occurs laurel repeat gag vaseline sling second bull fence one land butt balance upright instant toppling funny somebody planned gag quickie comedy salute unknown gagsmith tech man rigged bull land position likely happened luck director editor smart enough keep br br silent era whenever hollywood made big budget feature film set anyplace people speak english common cinematic device show piece text inscription local lingo dissolve shot text english surprised low budget comedy spent money copy device see notice board outside corrida message spanish dissolve text english unfortunately photography cheapo movie dark effect wasted br br actress movie attractive including broncho billy wife leona anderson stan laurel common law wife mae dahlberg latter briefly pretty dance mae danced stan vaudeville act surprised spot charlie chaplin half brother wheeler dryden brief role since chaplin nothing movie mud sand laurel give funny performance quite unlike later familiar stanley character film much less funny brilliant work oliver hardy rating trivia note twenty three year later stan laurel last american film bullfighter played spanish bullfighter spanish voice post dubbed coincidentally film used stock footage blood sand valentino movie tyrone power remake mud sand funnier bullfighter much,0
really sure even begin describe bad movie like bad film often entertaining love bad special effect bad acting bad music inept direction exception music better expected movie quality br br special effect amazingly bad worst seen since nintendo scene watch include thunderchild woman crushed mechanical foot big ben scene train wreck wow many bad effect plus side though scene alien walker well done br br acting bad could possibly based directly h g well book good source material almost though actor trying top make funny mustache single distracting piece facial hair seen long time course half movie contains acting rest character walking around aimlessly poorly rendered effect shot br br say timothy hines inept director would injustice inept director use different colored filter shot particular reason use poorly rendered background even inside scene bad green screening amazing man ever got approval direct movie imagine would possible turn brilliant book bad movie bravo mr hines bravo br br advice anyone plan see movie friend enjoy bad movie drink play poker watching keep drinking maybe make way make excellent bad movie fun laugh silly disaster,0
movie predictable ending use great see movie really unusual twist however said really disappointed l apartment ending opinion ending really fit rest movie basically destroyed story told br br spend whole movie discovering everyone feeling event final minute movie would impacted majorly everyones character movie end leaf wide open br br overall though movie well made unlike similar movie serendipity scene believable go top,1
normally glutton poor movie thing stunk br br watch movie br br terrible effect little humour hell point making movie gore speak acting speak br br could manage minute rat dropping movie rare br br something positive say drivel cover art ok pretty sure movie ending even tho make br br rat unorganized blew line constantly lacked intensity seemed going pace paycheque actor worse,0
usa movie like take nap long hot sunday afternoon feel great close eye let worry drift away soon lost one intense lucid dream know dreaming still wake want go flow soon kind weird alice wonderland story complete character think could dream telling kind crazy stuff war peace taking trip past even future br br dream start get heavier feel like going path control maybe want wake try open eye destruction sadness confusion scary voice telling could truth could lie seeing image flicker change get clear even want see brain creating br br finally lost myth world realize end come end world end dream wake next br br maybe write dream know dream like happen often better pay attention br br maybe crack beer forget whole thing bad idea forget,1
opinion several friend family member including finest entire gamut tarzan movie johnny weissmuller never played part well following issue series definitely rate collection film,1
avid jane austen fan many year never seen adaptation heard came read excellent review basis eagerly ordered netflix cruel disappointment taken one subtle bright comic novel made dull character seems dealt single facial expression single tone upon base flat character although adaptation seems used every word jane austen wrote appear passed around character random fashion even though done miniseries adaptation manages confuse feel rushed done movie week br br mr bennett harsh mr bennet chattering chipmunk mr darcy lifeless nutcracker bennett girl almost indistinguishable mr wickham man one would look twice hardly appealing cad quite put,0
people think expressionist cinema look b w german film silent early sound era film emphasized canted angle extreme contrast light dark exaggerated performance occasional us surrealism create dreamlike atmosphere order diverge traditional naturalistic mode cinematic representation willing accept german filmmaker create expressionist cinema mentioned characteristic prerequisite expressionist film would argue dodes ka den dkd prime example type film br br like dream dkd little unhinged kurosawa film dabbling unreal however dkd also unlike dream great film probably favorite kurosawa picture mostly think color believe kurosawa first color film man saturates movie vibrant primary color creating completely unreal contemporary japan used neon light gleaming tokyo skyscraper used city appears colored crayon br br dkd said peculiar film inasmuch many character live junkyard appearing live alternate universe think point tokyo outsider people left behind great move forward following world war ii film also represents one kurosawa heartfelt movie genuine sentiment genuine pathos boy father describes dream home amazingly moving film man better known stunning john ford like vista samurai everyone known kurosawa movie touching thought provoking ikiru foreshadows emotional resonance film many way br br also argue last kurosawa greatest achievement samurai film though capable picture pale comparison work kobayashi hara kiri greatest intelligent samurai film committed celluloid rashomon hidden fortress seven samurai yojimbo sanjuro kagemusha ran fine film merely good frankly think word generous hidden fortress kagemusha dkd great movie ikiru crown jewel show akira one trick samurai pony reveal artistry mastery cinema,1
watched film shire joy br br possibly one best film time timeless value get much amazing part moving funny great br br aspect spot portrayal story perfect every detail genuine even small irish subtlety covered br br use low high shot give two great view cristy look br br daniel day lewis performance incredible never seen actor ever really amazing br br great watch flow well probably closest thing yo get real life experience love br br seen see doubt something,1
hoppity go town discovers nothing bad news little insect neighbor lowland honest good natured grasshopper save sweetheart miss honey bee machination evil c bagley beetle also lead friend safe new home late br br one great animated feature new art time film created hoppity enjoyable film bring pleasure uncritical viewer technically well made animation generally high quality movie main drawback none character really heart come alive screen way jiminy cricket year earlier pinocchio br br however ultimately unfair compare fleischer studio output disney max dave fleischer star follow contribution would considerable one would realm one reel cartoon popeye betty boop series created alternate reality viable produced cartoon studio hoppity second experiment feature length animation gulliver travel henceforth would expend energy cartoon short subject fact first highly acclaimed superman series already release br br hoppity story owes great deal frank capra energetic go get em hero powerful societal force indeed film original title mr bug go town immediately put one mind gary cooper jimmy stewart capraesque adventure br br jack mercer famous voice popeye speaks two different character old mr bumble swat fly movie maven able catch veteran voice actor pinto colvig mae questel uncredited role br br film pleasant song supplied hoagy carmichael frank loesser little baby bumble bee familiar couple castle fine romantic tune deserves rediscovered br br unfortunate film initial animation sweep heaven past depth new york skyline obscured behind opening credit,1
great movie laughing time well austria get along german bavarian kind humor guess movie make sense watching german native speaker stefan erkan talking new kind turkish german accent became really popular country ger aut course stupid every comedy personal humor decide whether thumb,1
big fan fred macmurray carole lombard addition charles butterworth enjoyable supporting actor film particularly enjoy well despite good cast one poorest written clichéd picture ever seen given talent money spent make film shocking slip shod writing knew film would tedious time time early film found predicting exactly would happen next always right sort movie savant almost imagination effort went fact seemed almost film long string clichés strung together also found bit irritating fred mistreated carole bad throughout film yet true convention came running end uggh suspense lassie film bring people rescue timmy rope dangling break br br despite tired clichéd script positive film pretty cool seeing fred look like broken lush end film pretty believable looked like eaten shaved slept day also charles butterworth prattle provide mildly humorous moment enough make film look different b movie shame could much better,0
brief period clint eastwood string spaghetti western dirty harry film director siegel teamed make unusual picture eastwood play injured union army corporal civil war taken southern school girl recovers wound since young woman seem teenager man premise reluctant turn local rebel soldier resulting situation often humorous shocking erotic even downright grotesque eastwood slowly regains strength begin brood establishment br br basic storyline almost sound like making porno film masculine male suddenly surrounded young nubile woman sexually attracted willing spread love amongst material never really slip level tasteless however eastwood siegel cinematographer bruce surtees skilled filmmaker film always retains dignity br br eastwood john mcburney like character ever played mcburney amoral conniving lustful charlatan know woman even youngest want bod let one shot mcburney often us flattery butter woman us rugged good look reel like drunken player cocktail party often hitting different woman even scene eventually lustful way cause great agony loss way must see author would dream revealing specific consequence action little doubt coming br br eastwood give typically great performance seems blast role thing turn really ugly turn mean ugly geraldine page treat steely b tch run school know want mcburney much girl checkered past shown u flashback find mae mercer slave belonging school give great performance obviously know mcburney skunk beginning never let phony charm bring guard character want know film seems greater knowledge world anyone else film br br beguiled poorly theatrical release nobody quite sure make content doubt raised eyebrow example early scene see eastwood romantically kiss yr old girl trying keep quiet rebel soldier get close really enjoying probably fantasy sequence later even show clint getting page young assistant truly interesting going one good thing eastwood became star one might long forgotten br br highly recommended star br br hound,1
